2020-01-11 08:27:24,b'Hope I go in early last week of June or first week of July'
2020-01-11 08:26:46,b'My baby due two weeks before my birthday'
2020-01-11 08:26:28,b'Can\xe2\x80\x99t wait till the summer'
2020-01-11 08:10:00,b'RT @BobOngHugots: Pagod ka na? Try to rest but not to quit. You need to be strong. Just keep going.'
2020-01-11 08:05:23,b'Did it storm I slept right thru that lil shit'
2020-01-11 07:56:24,"b""RT @demonyokajane: once a person never replies to your chat please stop bothering them, they don't like you."""
2020-01-11 07:56:15,b'Niggas sholl be thinking they slick'
2020-01-11 07:55:41,b'Thinking I get my stamps Tuesday I get them Monday'
2020-01-11 07:53:02,b'Up hungry asf'
2020-01-11 07:52:41,b'RT @DVC_World: I\xe2\x80\x99m just up \xf0\x9f\x99\x84'
2020-01-11 07:50:42,"b'in other news, managed to get 2 more alfie and shara duo!! i wanna +10 them but i really wanna save my left over or\xe2\x80\xa6 https://t.co/fImtzFA3Ai'"
2020-01-11 07:14:57,b'RT @rinyanpassan: ---Halloween\xf0\x9f\x8e\x83\xf0\x9f\x91\xae\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fpolice---\n\n\xe2\x9d\xa4\xef\xb8\x8e @373_cosplay \n\xe2\x9d\xa4\xef\xb8\x8e @rinyanpassan\n\nphoto by Shara\xe3\x81\x95\xe3\x82\x93\xe3\x80\x80@sugasugamomiage https://t.co/nIU088U52w'
2020-01-11 07:09:52,b'@happyflipps Oh don\xe2\x80\x99t worry Shara! I just sometimes am on low-level energy because I get very tired easily and then\xe2\x80\xa6 https://t.co/yvvmrld5Bv'
2020-01-11 07:01:59,"b""@scraphamster I get Sheila, Susan, Sandra...or if it's spelling roulette it can be anything from Sarha to Shara. #SarahSolidarity"""
2020-01-11 06:55:49,"b'Listen to me sing ""Kemuning"" on #Smule: https://t.co/9pTzUeqhqi'"
2020-01-11 06:51:14,b'RT @UziXO_: you\xe2\x80\x99ll keep forgiving the person you love until you fucking hate them'
2020-01-11 06:43:21,b'We Started To Email Campaign For All People To Start Our Weight Loss journey We Shara Daliy Tips And #exercise Exer\xe2\x80\xa6 https://t.co/90vcSI8Ufv'
2020-01-11 06:31:28,b'@zachsang1 Thinking my friendship of 15 years just might need to come to an end already'
2020-01-11 06:30:44,"b'Don\xe2\x80\x99t have the energy anymore to explain myself to people. I shouldn\xe2\x80\x99t have to. If you don\xe2\x80\x99t like what I\xe2\x80\x99m about, w\xe2\x80\xa6 https://t.co/P1F9EVe1I5'"
2020-01-11 06:24:38,b'@BelieverMS5 @only_los @Sharmini26 @Shara_love19 @BiggBossTw @Sadhana_Gypsy @Bigg_Boss_Liya @Ramkumar1063 Good one'
2020-01-11 06:05:37,"b'RT @TubigKaMuna: Stay hydrated, I love you'"
2020-01-11 06:05:22,b'nice ang microphone*'
2020-01-11 06:02:35,b'shara bey and kes dameron.'
2020-01-11 05:56:30,"b'@crispychrista \xe2\x80\xa2Do you spell your name with a h?\n\nYes.\n\n\xe2\x80\xa2Ok Shara, and your surname?\n\nDuce, thats D U C E.\n\nDuse, D\xe2\x80\xa6 https://t.co/5ZoBnED6ox'"
2020-01-11 05:50:22,"b'RT @beeeelllllaaa: Real gangstas don\xe2\x80\x99t see 25, what I was told'"
2020-01-11 05:47:15,b'FINALLY BEAT SHARA'
2020-01-11 05:40:52,"b'Wtf are with those pics hello yikes thats supposed to be transparent. Anyways, Shara Ishvalda is DEFINITELY one of\xe2\x80\xa6 https://t.co/J6mEJws8pL'"
2020-01-11 05:39:35,"b'clearly all the effort went to namielle and shara ishvalda and honestly as much as it pains me to say it, im kinda\xe2\x80\xa6 https://t.co/kNtTwxkVkN'"
2020-01-11 05:28:55,b'@chavez_shara Bitter \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2020-01-11 05:20:58,b'I just want one successful Shara run... is that just too much to ask for'
2020-01-11 05:13:28,b'@zothealpha_ Congratulations good sir'
