54,18,25.92592593,1.851851821,0,0,1.851851852,0,0,0,0,0,0,0,0,0,62.962963,6
1813,12.25,33.09431881,1.158301115,0.386100386,0.055157198,0.110314396,0.055157198,0,0.220628792,0,0.441257584,0.055157198,0,0,0.220628792,88.472145,6
1234,12.59183673,27.14748784,0.972447336,0.405186386,0,0.081037277,0,0,0.243111831,0,0,0,0.243111831,0.081037277,0.324149109,99.59481,13
7,7,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71429,5
1467,20.09589041,36.19631902,1.295160174,1.158827539,0.204498978,0.136332652,0,0,0.204498978,0,0.272665303,0,0,0,0.477164281,127.47103,6
1335,11.125,36.55430712,0.524344563,0.374531835,0,0.074906367,0,0,0.149812734,0,0.224719101,0,0,0,0.074906367,178.12733,5
876,19.90909091,34.01826484,1.369863033,0.114155251,0.114155251,0,0.570776256,0,0,0,0,0,0,0.228310502,1.02739726,140.75342,36
1365,18.95833333,38.75457875,0.512820542,0.879120879,0.073260073,0,0,0,0.21978022,0,0.073260073,0,0,0,0.146520147,194.8718,4
16,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,187.5,4
2055,22.09677419,30.70559611,2.72506094,0.486618005,0.535279805,0.194647202,0.194647202,0.0486618,0.924574209,0,0.729927007,0,0,0,0.145985401,72.55474,9
1538,12.60655738,33.48504551,0.520156026,0.975292588,0.065019506,0.065019506,0,0,0,0,0.260078023,0,0.065019506,0,0.065019506,122.69181,10
1961,21.78888889,31.82049975,1.733809233,1.070882203,0.254971953,0.203977562,0.101988781,0,0.254971953,0,0.305966344,0,0.152983172,0.050994391,0.407955125,78.837326,4
1694,10.92903226,31.8772137,0.944510043,0.531286895,0,0.177095632,0.059031877,0,0.295159386,0,0,0,0,0,0.41322314,97.874855,4
230,38.33333333,26.52173913,0.434782594,0.869565217,0,0,0,0,0,0,0,0,0,0,0.434782609,98.26087,9
1222,14.04597701,37.07037643,1.06382978,0.572831424,0,0,0,0,0.490998363,0.163666121,0.245499182,0,0,0,0.163666121,134.94272,5
1013,7.852713178,37.01875617,0.987166822,0.789733465,0.197433366,0.296150049,0,0,0.296150049,0,0,0,0,0,0.197433366,142.05331,6
6,6,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,266.66666,5
3,3,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,233.33333,4
626,14.9047619,53.19488818,0,0.319488818,0,0,0,0,0,0,0,0,0,0,0,292.8115,6
273,19.5,32.96703297,1.098901153,2.197802198,0,0.366300366,0.366300366,0,0.366300366,0,0,0,0,0,0,98.168495,24
